,id,AIC 1 Mixture,AIC 2 Mixture,AIC 3 Mixture,BIC 1 Mixture,BIC 2 Mixture,BIC 3 Mixture,Experiment
57,58,8024.317268699826,7993.547623276919,7864.699249266184,8033.316842781138,8016.046558480198,7900.697545591431,1
58,59,11641.927224246348,11584.301272475728,11567.909717814979,11651.593287711921,11608.46643113966,11606.573971677268,1
59,60,12016.870578913613,11878.18277518106,11866.768670651189,12026.674053326926,11902.691461214343,11905.982568304442,1
60,61,11375.038681546685,11390.30466070471,11364.293812684682,11384.696105689967,11414.44822106292,11402.923509257815,1
61,62,12071.395783367137,12023.959314963406,12014.182243740923,12081.131732185078,12048.299187008257,12053.126039012684,1
62,63,12147.956096096303,12066.773564017325,12063.571004997857,12157.74543617517,12091.246914214493,12102.728365313325,1
63,64,8111.664619004274,7949.856044722918,7910.6405242088285,8120.581295570963,7972.147736139642,7946.307230475587,1
64,65,12322.189324841936,12195.563196754381,12155.009130398463,12331.950093006308,12219.965117165311,12194.052203055951,1
65,66,11856.96029264541,11506.52355379645,11496.193560164309,11866.755702531667,11531.012078512094,11535.375199709339,1
66,67,11725.848747089349,11564.377301639683,11548.423822046107,11735.631998883453,11588.835431124944,11587.556829222525,1
67,68,11541.658479990432,11476.064609037285,11471.747124197773,11551.302874771673,11500.175595990388,11510.324703322736,1
68,69,12398.909270807111,12220.442159985181,12115.243317435621,12408.724781365076,12244.980936380092,12154.505359667479,1
69,70,12349.92721181081,12315.071220505637,12318.41543073102,12359.692086752804,12339.483407860625,12357.474930499004,1
70,71,11877.648781748307,11783.700989203846,11764.019061906318,11887.384730566248,11808.040861248697,11802.96285717808,1
71,72,11389.799917293705,11296.167919146792,11294.93859043034,11399.605402768022,11320.681632832586,11334.160532327609,1
72,73,12643.106848641957,12487.422039385629,12491.109635564888,12652.849031231179,12511.777495858682,12530.078365921772,1
73,74,11884.863469379135,11619.057459730084,11528.528933948226,11894.654834774632,11643.535873218823,11567.694395530209,1
74,75,12132.695947267619,12012.932417851463,11754.22544671253,12142.505448807542,12037.456171701273,11793.463452872224,1
75,76,9464.422152011488,8566.439916273754,8529.900504473278,9473.558307834312,8589.280305830813,8566.445127764575,1
76,77,11850.184364917059,11652.206012128967,11626.720454795091,11859.987839330372,11676.71469816225,11665.934352448345,1
77,78,8618.817591518251,8448.8758030045,8415.987705671268,8628.025479167452,8471.895522127501,8452.819256268072,1
78,79,11822.13728608993,11686.184023156806,11677.003465357446,11831.906259394016,11710.60645641702,11716.079358573788,1
79,80,11956.946474387685,11787.326161674855,11725.162389125731,11966.73986305093,11811.809633332969,11764.335943778713,1
80,81,11981.556211570369,11878.6497980922,11899.898143065848,11991.290078139293,11902.98446451451,11938.833609341544,1
81,82,12623.589294571055,12633.237116748067,12548.157223559072,12633.362357856116,12657.66977496072,12587.249476699317,1
82,83,7814.554330936845,7736.497056677446,7714.354966951053,7823.502112329549,7758.866510159208,7750.146092521872,1
83,84,12246.229144955854,12139.992016250839,12126.16539427419,12256.026574024514,12164.48558892249,12165.35511054883,1
84,85,11627.298125890571,11443.652915704784,11419.70395489186,11637.09757210514,11468.151531241208,11458.90173975014,1
85,86,11905.851088778247,11743.90774414114,11738.006802503169,11915.634340572351,11768.3658736264,11777.139809679587,1
86,87,11342.055389929317,11342.463666173946,11342.865869067995,11351.704137269404,11366.585534524162,11381.46085842834,1
87,88,12070.565972751821,11716.930787011883,11681.312152709623,12080.339036036883,11741.363445224535,11720.404405849868,1
88,89,9612.634017413673,9548.581160284535,9529.019232736806,9621.970473910507,9571.922301526622,9566.365058724145,1
89,90,11674.61307882907,11327.272222434563,11313.56596793649,11684.396330623174,11351.730351919825,11352.69897511291,1
90,91,7252.895487162783,7042.093358077029,6981.4400005183925,7261.679321389568,7064.052943643992,7016.575337425534,1
91,92,10306.536937632405,10307.05834840261,10289.128862352083,10315.99897383337,10330.71343890502,10326.97700715594,1
92,93,12106.006084042687,11888.523787497179,11957.201280019355,12115.70209459184,11912.76381387006,11995.985322215965,1
93,94,11438.490287570927,11450.429484851884,11424.328351228394,11448.192657425914,11474.685409489353,11463.137830648344,1
94,95,11603.54057951855,11351.409589312854,11323.966272293148,11613.325862800895,11375.872797518714,11363.107405422525,1
95,96,12025.533766338596,11972.08689266555,11999.539916241363,12035.298641280591,11996.499080020538,12038.599416009347,1
96,97,9619.093875682585,9606.145121494246,9583.947161610296,9628.470585110479,9629.58689506398,9621.453999321871,1
97,98,12254.820711859727,12080.965786465538,12060.402345855202,12264.542039202624,12105.269104822779,12099.287655226788,1
98,99,11056.466132928685,11026.538471990956,11023.64602995243,11066.245315545393,11050.986428532728,11062.762760419266,1
99,100,11611.114112065996,11505.936490393311,11476.517421927088,11620.89939534834,11530.39969859917,11515.658555056465,1
100,1,12292.778539076928,12077.26466570524,12053.988984952059,12302.563822359272,12101.727873911099,12093.130118081435,2
101,2,12241.174933930393,12169.269411614297,12201.572218845777,12250.974380144962,12193.768027150722,12240.770003704056,2
102,3,12495.933748065992,12278.362932118782,12287.640320006067,12505.706811351054,12302.795590331434,12326.732573146312,2
103,4,12198.056483468663,11937.003709073695,11914.092023235466,12207.84582354753,11961.477059270863,11953.249383550934,2
104,5,11403.068200787151,11146.531478515968,11125.808944593162,11412.824853723734,11170.923110857424,11164.835556339493,2
105,6,12273.268072946126,12224.186226002068,12155.1212945331,12283.07154735944,12248.694912035351,12194.335192186354,2
106,7,11700.87869728486,11573.543513844796,11560.988348407936,11710.670062680356,11598.021927333535,11600.153809989919,2
107,8,11787.700442832445,11628.096573686631,11612.377175095571,11797.469416136531,11652.519006946844,11651.453068311914,2
108,9,12100.182472136825,12044.182259414109,12049.074797522746,12109.889070323197,12068.448754880039,12087.901190268234,2
109,10,11818.931736343824,11545.082425482788,11462.136139294369,11828.739230858993,11569.60116177071,11501.366117355046,2
110,11,12022.063638170359,11897.112172903013,11886.172438001548,12031.818230313354,11921.4986532605,11925.190806573528,2
111,12,11775.91880007859,11314.443656557774,11248.515325055,11785.720261406681,11338.947309878,11287.72117036736,2
112,13,12123.855452816133,11995.335791828114,11976.56665784355,12133.607982039915,12019.717114887568,12015.576774738676,2
113,14,12346.367590660397,12085.060935117308,12014.983171875334,12356.165019729056,12109.554507788958,12054.172888149973,2
114,15,12507.530923044047,12391.108606561627,12381.168412414982,12517.2813872186,12415.48476699801,12420.170269113194,2
115,16,11434.91613254162,11277.911474010081,11245.640144831686,11444.703445250827,11302.379755783095,11284.789395668507,2
116,17,12174.182517936428,11931.304176614634,11924.4633264363,12183.893335533648,11955.581220607684,11963.30659682518,2
117,18,12188.469115097785,11944.681841692662,11879.774549289483,12198.221644321568,11969.063164752115,11918.784666184609,2
118,19,12416.849223013924,12330.161827252863,12324.469571373465,12426.622286298985,12354.594485465515,12363.56182451371,2
119,20,12696.002213259233,12398.477891759907,12402.426481361614,12705.777318402563,12422.91565461823,12441.52690193493,2
120,21,11840.576115534051,11755.358258321961,11750.869329614083,11850.1809050607,11779.370232138583,11789.288487720678,2
121,22,12563.71320860837,12103.64308637589,12217.88609046712,12573.469861544952,12128.034718717347,12256.91270221345,2
122,23,12099.757063823468,11989.02724048388,11953.113804484783,12109.476293630776,12013.32531500215,11991.990723714016,2
123,24,12090.377139929373,12021.250941498016,12010.93731046771,12100.129669153155,12045.63226455747,12049.947427362837,2
124,25,11809.884687404627,11736.743453647548,11682.094032263212,11819.674027483494,11761.216803844716,11721.25139257868,2
125,26,11821.98454065534,11563.123075183692,11512.388901828745,11831.788015068652,11587.631761216975,11551.602799481998,2
126,27,11919.237244000566,11853.9902652953,11829.394131806122,11929.034673069225,11878.48383796695,11868.583848080762,2
127,28,12284.115137543275,12147.907266930015,12097.97464645739,12293.875905707646,12172.309187340945,12137.017719114878,2
128,29,12076.335910676702,11759.295081526141,11646.68611030473,12086.151421234666,11783.833857921052,11685.948152536588,2
129,30,12166.580815349347,12117.007244927765,12087.66842020267,12176.283185204335,12141.263169565234,12126.47789962262,2
130,31,11537.557891888857,11440.884093778079,11433.037538546956,11547.197924618205,11464.98417560145,11471.597669464349,2
131,32,12234.263909907822,12041.220929777477,11996.959014011472,12244.061338976482,12065.714502449127,12036.148730286111,2
132,33,11582.836738136642,11462.50113207906,11462.324776225618,11592.481132917883,11486.612119032163,11500.902355350581,2
133,34,11856.248024455308,11611.777431843235,11593.417583394927,11866.02516937444,11636.220294141061,11632.52616307145,2
134,35,11983.968152510726,11930.167289370898,11900.073549073493,11993.644962912422,11954.359315375135,11938.780790680272,2
135,36,12238.577031445233,11970.649206739756,11867.66700789069,12248.37244133149,11995.1377314554,11906.84864743572,2
136,37,12115.268660308859,12021.76308701865,12005.306024888963,12124.921750755972,12045.895813136432,12043.918386677416,2
137,38,12373.851007172416,12308.160775148386,12322.644433929174,12383.599404163322,12332.531767625653,12361.6380218928,2
138,39,11779.718453390104,11694.06132085039,11669.405096816492,11789.489472730173,11718.488869200562,11708.48917417677,2
139,40,11891.735815333403,11733.662946063532,11666.215159619609,11901.54130080772,11758.176659749326,11705.437101516878,2
140,41,11879.45084567364,11832.176572059925,11840.245969686122,11889.186794491581,11856.516444104776,11879.189764957884,2
141,42,12259.119512596822,12112.280873912448,12112.06255637429,12268.861695186044,12136.636330385501,12151.031286731175,2
142,43,11775.720086320922,11682.566351092017,11644.182437198491,11785.344776509277,11706.628076562904,11682.681197951912,2
143,44,12011.167520621882,11852.885940980581,11803.489881524038,12020.920049845665,11877.267264040034,11842.499998419164,2
144,45,12313.289306483519,12165.983607541737,12173.997153816728,12323.06645140265,12190.426469839564,12213.105733493252,2
