,id,AIC 1 Mixture,AIC 2 Mixture,AIC 3 Mixture,BIC 1 Mixture,BIC 2 Mixture,BIC 3 Mixture,Experiment
40,41,11516.054522138158,11082.469613180001,11072.772548916273,11525.857996551471,11106.978299213284,11111.986446569526,1
41,42,11764.80756635057,11393.629559532108,11360.181690429668,11774.60499541923,11418.123132203758,11399.371406704307,1
42,43,6082.811602519012,6066.277785816388,5979.130271188444,6091.288251769091,6087.469408941585,6013.036868188759,1
43,44,11849.364441880312,11769.21857818338,11764.316256129945,11859.075259477533,11793.49562217643,11803.159526518824,1
44,45,11329.54445085255,11274.876465575937,11274.969251915903,11339.151461367768,11298.893991863979,11313.39729397677,1
45,46,12665.537805960672,12572.489859206558,12577.782732624251,12675.319024200966,12596.942904807294,12616.90760558543,1
46,47,10009.411411497149,10002.409925484606,9813.938989177563,10018.873447698114,10026.065015987017,9851.78713398142,1
47,48,12532.435886261606,12212.35407521404,12173.430652623276,12542.19253919819,12236.745707555496,12212.457264369606,1
48,49,11196.404953136645,11132.624951043137,11145.369432211099,11205.987396062097,11156.581058356767,11183.699203912909,1
49,50,11688.914874463317,11483.275053993528,11472.183529327827,11698.634104270624,11507.573128511798,11511.06044855706,1
50,51,12204.753258198152,12146.94001034107,12166.449650265888,12214.522231502238,12171.362443601283,12205.52554348223,1
51,52,11920.47449084131,11801.480671166424,11813.38709903003,11930.200006667414,11825.79446073168,11852.28916233444,1
52,53,10725.032265449383,10576.676969129754,10403.983866265637,10734.645924170167,10600.711115931716,10442.438501148774,1
53,54,12507.05708569814,12479.805796728528,12439.826446296283,12516.788867847907,12504.135252102944,12478.75357489535,1
54,55,4778.978947677499,4429.541088216852,4384.563164239473,4786.583184428253,4448.551680093737,4414.980111242489,1
55,56,12810.880844070003,12744.403858588224,12738.378825665714,12820.643666677288,12768.810915106436,12777.430116094854,1
56,57,12214.231467002688,11999.685869778223,11992.550973784919,12224.030913217257,12024.184485314647,12031.748758643198,1
