,id,condition,chunk,bl,tr,ts,delta_c
341,80,accurate,medium2,43,89,51,8
342,80,accurate,sz3,64,119,86,22
343,80,accurate,sz4,42,69,63,21
344,83,accurate,high2,51,129,67,16
345,83,accurate,medium2,48,127,54,6
346,83,accurate,sz3,62,131,81,19
347,83,accurate,sz4,43,74,55,12
348,86,accurate,high2,61,168,67,6
349,86,accurate,medium2,48,55,35,-13
350,86,accurate,sz3,72,88,56,-16
351,86,accurate,sz4,49,51,30,-19
352,87,accurate,high2,14,101,30,16
353,87,accurate,medium2,49,174,50,1
354,87,accurate,sz3,19,136,25,6
355,87,accurate,sz4,7,85,8,1
356,90,accurate,high2,58,158,67,9
357,90,accurate,medium2,31,105,40,9
358,90,accurate,sz3,43,134,63,20
359,90,accurate,sz4,22,69,41,19
