,id,condition,reuse_p,not_reuse_p
135,125,Independent,0.559322033898305,0.44067796610169496
136,126,Independent,0.6,0.4
137,127,Independent,0.6984126984126984,0.3015873015873016
138,128,Independent,0.625,0.375
139,129,Independent,0.8166666666666667,0.18333333333333335
140,134,Independent,0.42857142857142855,0.5714285714285714
141,140,Independent,0.5365853658536586,0.46341463414634143
142,9,Fast,0.8064516129032258,0.19354838709677424
143,45,Fast,0.8888888888888888,0.11111111111111116
144,69,Fast,0.7758620689655172,0.22413793103448276
145,82,Fast,0.9130434782608695,0.08695652173913049
146,83,Fast,0.6037735849056604,0.39622641509433965
147,85,Fast,0.9577464788732394,0.04225352112676062
148,88,Fast,0.9122807017543859,0.08771929824561409
149,97,Fast,0.8833333333333333,0.1166666666666667
150,99,Fast,0.8695652173913043,0.13043478260869568
151,100,Fast,0.8793103448275862,0.12068965517241381
152,107,Fast,0.7735849056603774,0.2264150943396226
153,109,Fast,0.8923076923076924,0.10769230769230764
154,111,Fast,0.8529411764705882,0.1470588235294118
155,116,Fast,0.9565217391304348,0.04347826086956519
156,118,Fast,0.918918918918919,0.08108108108108103
157,119,Fast,0.8333333333333334,0.16666666666666663
158,120,Fast,0.8208955223880597,0.17910447761194026
159,122,Fast,0.875,0.125
160,123,Fast,0.85,0.15000000000000002
161,124,Fast,0.8103448275862069,0.18965517241379315
162,125,Fast,1.0,0.0
163,126,Fast,0.8636363636363636,0.13636363636363635
164,128,Fast,0.75,0.25
165,132,Fast,0.8,0.19999999999999996
166,134,Fast,0.8974358974358975,0.10256410256410253
167,135,Fast,0.7777777777777778,0.2222222222222222
168,136,Fast,0.9285714285714286,0.0714285714285714
169,137,Fast,0.9482758620689655,0.051724137931034475
170,139,Fast,0.8604651162790697,0.13953488372093026
171,150,Fast,0.8333333333333334,0.16666666666666663
172,153,Fast,0.8787878787878788,0.12121212121212122
173,159,Fast,0.7580645161290323,0.24193548387096775
174,165,Fast,0.8666666666666667,0.1333333333333333
175,179,Fast,0.7755102040816326,0.22448979591836737
176,181,Fast,0.8103448275862069,0.18965517241379315
177,182,Fast,0.9302325581395349,0.06976744186046513
178,187,Fast,0.8571428571428571,0.1428571428571429
179,188,Fast,0.8928571428571429,0.1071428571428571
180,193,Fast,0.8656716417910447,0.13432835820895528
181,198,Fast,0.64,0.36
182,199,Fast,0.8235294117647058,0.17647058823529416
183,201,Fast,0.7857142857142857,0.2142857142857143
184,207,Fast,0.9107142857142857,0.0892857142857143
185,208,Fast,0.7910447761194029,0.20895522388059706
186,211,Fast,0.9318181818181818,0.06818181818181823
187,212,Fast,0.8769230769230769,0.12307692307692308
188,228,Fast,0.9107142857142857,0.0892857142857143
189,229,Fast,0.9444444444444444,0.05555555555555558
190,233,Fast,0.9354838709677419,0.06451612903225812
191,234,Fast,0.9148936170212766,0.08510638297872342
192,240,Fast,0.896551724137931,0.10344827586206895
193,241,Fast,0.7941176470588235,0.20588235294117652
194,243,Fast,0.8,0.19999999999999996
195,246,Fast,0.803921568627451,0.196078431372549
196,4,Accurate,0.76,0.24
197,22,Accurate,0.9516129032258065,0.048387096774193505
198,28,Accurate,0.5,0.5
199,30,Accurate,0.8709677419354839,0.12903225806451613
200,40,Accurate,0.9130434782608695,0.08695652173913049
201,44,Accurate,0.8082191780821918,0.1917808219178082
202,52,Accurate,0.8214285714285714,0.1785714285714286
203,56,Accurate,0.7857142857142857,0.2142857142857143
204,62,Accurate,0.0,1.0
205,66,Accurate,0.896551724137931,0.10344827586206895
206,81,Accurate,0.7857142857142857,0.2142857142857143
207,102,Accurate,0.6875,0.3125
208,104,Accurate,0.8767123287671232,0.12328767123287676
209,105,Accurate,0.8771929824561403,0.1228070175438597
210,106,Accurate,0.8125,0.1875
211,108,Accurate,0.9523809523809523,0.04761904761904767
212,110,Accurate,0.7727272727272727,0.2272727272727273
213,113,Accurate,0.9487179487179487,0.05128205128205132
214,117,Accurate,1.0,0.0
215,121,Accurate,0.9130434782608695,0.08695652173913049
216,127,Accurate,0.8780487804878049,0.12195121951219512
217,130,Accurate,0.7818181818181819,0.21818181818181814
218,131,Accurate,0.6714285714285714,0.3285714285714286
219,133,Accurate,0.8253968253968254,0.17460317460317465
220,138,Accurate,0.9090909090909091,0.09090909090909094
221,140,Accurate,0.926829268292683,0.07317073170731703
222,141,Accurate,0.96,0.040000000000000036
223,144,Accurate,0.88,0.12
224,145,Accurate,0.9245283018867925,0.07547169811320753
225,146,Accurate,0.94,0.06000000000000005
226,147,Accurate,0.8775510204081632,0.12244897959183676
227,149,Accurate,0.7301587301587301,0.2698412698412699
228,155,Accurate,0.5,0.5
229,156,Accurate,0.7638888888888888,0.23611111111111116
230,157,Accurate,0.8260869565217391,0.17391304347826086
231,164,Accurate,0.8648648648648649,0.1351351351351351
232,171,Accurate,0.8709677419354839,0.12903225806451613
233,174,Accurate,0.7887323943661971,0.21126760563380287
234,175,Accurate,0.8857142857142857,0.11428571428571432
235,176,Accurate,0.8833333333333333,0.1166666666666667
236,178,Accurate,0.9245283018867925,0.07547169811320753
237,185,Accurate,0.8679245283018868,0.13207547169811318
238,204,Accurate,0.765625,0.234375
239,205,Accurate,0.8636363636363636,0.13636363636363635
240,209,Accurate,0.9130434782608695,0.08695652173913049
241,210,Accurate,0.0,1.0
242,213,Accurate,0.0,1.0
243,214,Accurate,0.7794117647058824,0.22058823529411764
244,215,Accurate,0.8524590163934426,0.14754098360655743
245,217,Accurate,0.7142857142857143,0.2857142857142857
246,218,Accurate,0.8983050847457628,0.10169491525423724
247,219,Accurate,0.9166666666666666,0.08333333333333337
248,221,Accurate,0.8596491228070176,0.14035087719298245
249,223,Accurate,0.5714285714285714,0.4285714285714286
250,224,Accurate,0.8545454545454545,0.1454545454545455
251,225,Accurate,0.765625,0.234375
252,226,Accurate,0.9375,0.0625
253,231,Accurate,0.9615384615384616,0.038461538461538436
254,236,Accurate,0.8478260869565217,0.15217391304347827
255,237,Accurate,0.8545454545454545,0.1454545454545455
256,242,Accurate,0.3333333333333333,0.6666666666666667
257,244,Accurate,0.6875,0.3125
