,id,condition,chunk,bl,tr,ts,delta_c
269,105,accurate,medium2,33,139,64,31
270,105,accurate,sz3,40,180,90,50
271,105,accurate,sz4,22,114,66,44
272,106,accurate,high2,36,159,66,30
273,106,accurate,medium2,35,118,60,25
274,106,accurate,sz3,31,156,85,54
275,106,accurate,sz4,11,103,60,49
276,108,accurate,high2,61,172,66,5
277,108,accurate,medium2,54,140,50,-4
278,108,accurate,sz3,87,209,77,-10
279,108,accurate,sz4,69,144,53,-16
280,110,accurate,high2,46,203,73,27
281,110,accurate,medium2,42,179,54,12
282,110,accurate,sz3,61,275,88,27
283,110,accurate,sz4,45,200,67,22
284,113,accurate,high2,50,153,66,16
285,113,accurate,medium2,13,54,17,4
286,113,accurate,sz3,15,61,26,11
287,113,accurate,sz4,4,27,11,7
288,117,accurate,high2,14,88,35,21
289,117,accurate,medium2,7,41,14,7
290,117,accurate,sz3,5,34,12,7
291,117,accurate,sz4,1,7,2,1
292,121,accurate,high2,16,102,82,66
293,121,accurate,medium2,19,79,60,41
294,121,accurate,sz3,21,96,101,80
295,121,accurate,sz4,14,65,78,64
296,127,accurate,high2,37,106,37,0
297,127,accurate,medium2,46,52,40,-6
298,127,accurate,sz3,49,61,40,-9
299,127,accurate,sz4,31,25,18,-13
300,130,accurate,high2,7,100,48,41
301,130,accurate,medium2,19,143,53,34
302,130,accurate,sz3,11,116,59,48
303,130,accurate,sz4,7,61,30,23
304,131,accurate,high2,48,133,49,1
305,131,accurate,medium2,50,162,44,-6
306,131,accurate,sz3,46,174,54,8
307,131,accurate,sz4,18,105,35,17
308,133,accurate,high2,36,162,63,27
309,133,accurate,medium2,51,166,60,9
310,133,accurate,sz3,48,200,85,37
311,133,accurate,sz4,30,127,62,32
312,138,accurate,high2,46,105,45,-1
313,138,accurate,medium2,33,93,29,-4
314,138,accurate,sz3,31,79,33,2
315,138,accurate,sz4,11,27,15,4
316,140,accurate,high2,6,86,56,50
317,140,accurate,medium2,3,57,38,35
318,140,accurate,sz3,2,42,47,45
319,140,accurate,sz4,0,11,22,22
320,141,accurate,high2,12,115,54,42
321,141,accurate,medium2,0,40,38,38
322,141,accurate,sz3,0,46,49,49
323,141,accurate,sz4,0,21,35,35
324,144,accurate,high2,17,151,59,42
325,144,accurate,medium2,16,124,47,31
326,144,accurate,sz3,13,169,64,51
327,144,accurate,sz4,5,113,43,38
328,145,accurate,high2,30,116,47,17
329,145,accurate,medium2,31,122,57,26
330,145,accurate,sz3,25,125,68,43
331,145,accurate,sz4,9,72,46,37
332,146,accurate,high2,25,146,57,32
333,146,accurate,medium2,0,97,40,40
334,146,accurate,sz3,0,130,55,55
335,146,accurate,sz4,0,80,34,34
336,147,accurate,high2,30,105,40,10
337,147,accurate,medium2,52,147,41,-11
338,147,accurate,sz3,40,133,50,10
339,147,accurate,sz4,22,76,31,9
340,149,accurate,high2,61,190,51,-10
341,149,accurate,medium2,52,185,58,6
342,149,accurate,sz3,72,254,64,-8
343,149,accurate,sz4,45,167,36,-9
344,155,accurate,high2,10,39,57,47
345,155,accurate,medium2,5,8,29,24
346,155,accurate,sz3,1,1,41,40
347,155,accurate,sz4,0,0,25,25
348,156,accurate,high2,62,189,47,-15
349,156,accurate,medium2,55,186,49,-6
350,156,accurate,sz3,75,264,51,-24
351,156,accurate,sz4,48,191,25,-23
352,157,accurate,high2,42,122,61,19
353,157,accurate,medium2,52,154,57,5
354,157,accurate,sz3,52,166,83,31
355,157,accurate,sz4,30,109,63,33
356,164,accurate,high2,7,62,56,49
357,164,accurate,medium2,14,86,44,30
358,164,accurate,sz3,1,53,58,57
359,164,accurate,sz4,0,21,32,32
360,171,accurate,high2,65,162,56,-9
361,171,accurate,medium2,56,138,50,-6
362,171,accurate,sz3,86,172,71,-15
363,171,accurate,sz4,60,106,47,-13
364,174,accurate,high2,44,97,45,1
365,174,accurate,medium2,52,113,35,-17
366,174,accurate,sz3,57,85,36,-21
367,174,accurate,sz4,34,28,13,-21
368,175,accurate,high2,14,91,55,41
369,175,accurate,medium2,24,99,48,24
370,175,accurate,sz3,11,93,63,52
371,175,accurate,sz4,2,51,44,42
372,176,accurate,high2,21,146,50,29
373,176,accurate,medium2,8,98,26,18
374,176,accurate,sz3,3,115,26,23
375,176,accurate,sz4,1,56,10,9
376,178,accurate,high2,43,150,65,22
377,178,accurate,medium2,24,68,45,21
378,178,accurate,sz3,30,87,68,38
379,178,accurate,sz4,14,39,48,34
380,185,accurate,high2,41,148,46,5
381,185,accurate,medium2,30,113,56,26
382,185,accurate,sz3,36,136,56,20
383,185,accurate,sz4,18,77,29,11
384,204,accurate,high2,47,175,55,8
385,204,accurate,medium2,50,114,44,-6
386,204,accurate,sz3,55,155,53,-2
387,204,accurate,sz4,31,93,34,3
388,205,accurate,high2,55,190,72,17
389,205,accurate,medium2,28,98,60,32
390,205,accurate,sz3,43,154,95,52
391,205,accurate,sz4,27,93,71,44
392,209,accurate,high2,39,138,59,20
393,209,accurate,medium2,37,127,53,16
394,209,accurate,sz3,45,151,81,36
395,209,accurate,sz4,30,91,56,26
396,210,accurate,high2,2,1,2,0
397,210,accurate,medium2,5,1,6,1
398,210,accurate,sz3,2,0,0,-2
399,210,accurate,sz4,0,0,0,0
400,213,accurate,high2,0,0,24,24
401,213,accurate,medium2,0,0,0,0
402,213,accurate,sz3,0,0,0,0
403,213,accurate,sz4,0,0,0,0
404,214,accurate,high2,52,162,61,9
405,214,accurate,medium2,49,123,66,17
406,214,accurate,sz3,66,154,91,25
407,214,accurate,sz4,47,81,65,18
408,215,accurate,high2,48,174,67,19
409,215,accurate,medium2,45,144,61,16
410,215,accurate,sz3,50,183,88,38
411,215,accurate,sz4,27,118,63,36
412,217,accurate,high2,33,136,70,37
413,217,accurate,medium2,39,140,68,29
414,217,accurate,sz3,36,149,105,69
415,217,accurate,sz4,17,93,81,64
416,218,accurate,high2,67,212,70,3
417,218,accurate,medium2,58,179,69,11
418,218,accurate,sz3,91,283,102,11
